trade_date,group,key,sub,value,unit,fetched_at
2026-08-12,セクター別ウェート,資本財・その他,,6.97,%,2026-08-12T19:05:19+09:00
2026-08-12,セクター別ウェート,運輸・公共,,1.22,%,2026-08-12T19:05:19+09:00
2026-08-12,セクター別ウェート,金融,,2.92,%,2026-08-12T19:05:19+09:00
2026-08-12,セクター別寄与度,技術,,437.39,円,2026-08-12T19:05:19+09:00
2026-08-12,セクター別寄与度,消費,,22.68,円,2026-08-12T19:05:19+09:00
2026-08-12,セクター別寄与度,素材,,85.75,円,2026-08-12T19:05:19+09:00
2026-08-12,セクター別寄与度,資本財・その他,,-15.04,円,2026-08-12T19:05:19+09:00
2026-08-12,セクター別寄与度,運輸・公共,,0.27,円,2026-08-12T19:05:19+09:00
2026-08-12,セクター別寄与度,金融,,22.79,円,2026-08-12T19:05:19+09:00
2026-08-12,上昇確率,上昇確率,,57.63,%,2026-08-12T19:05:19+09:00
2026-08-12,上昇確率,分,,0.0,回,2026-08-12T19:05:19+09:00
2026-08-12,上昇確率,勝,,34.0,回,2026-08-12T19:05:19+09:00
2026-08-12,上昇確率,負,,25.0,回,2026-08-12T19:05:19+09:00
2026-08-12,基本,除数,,29.83110217,,2026-08-12T19:05:19+09:00
2026-08-12,規模,売買代金合計,,7.66,兆円,2026-08-12T19:05:19+09:00
2026-08-12,規模,売買代金合計,対市場占有率,81.14,%,2026-08-12T19:05:19+09:00
2026-08-12,規模,時価総額合計,,1059.36,兆円,2026-08-12T19:05:19+09:00
2026-08-12,規模,時価総額合計,対市場占有率,77.06,%,2026-08-12T19:05:19+09:00
2026-08-12,配当利回り,配当利回り,単純平均,1.61,%,2026-08-12T19:05:19+09:00
2026-08-12,配当利回り,配当利回り,指数ベース,1.36,%,2026-08-12T19:05:19+09:00
2026-08-12,騰落銘柄数,上昇,,135.0,銘柄,2026-08-12T19:05:19+09:00
2026-08-12,騰落銘柄数,下落,,88.0,銘柄,2026-08-12T19:05:19+09:00
2026-08-12,騰落銘柄数,変わらず,,2.0,銘柄,2026-08-12T19:05:19+09:00
2026-08-13,PBR,PBR,加重平均,1.92,倍,2026-08-13T19:06:40+09:00
2026-08-13,PBR,PBR,指数ベース,2.83,倍,2026-08-13T19:06:40+09:00
2026-08-13,PER,PER,加重平均,17.55,倍,2026-08-13T19:06:40+09:00
2026-08-13,PER,PER,指数ベース,22.7,倍,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,1. 6857 アドテスト,技術/電気機器,12.7,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,10. 9433 ＫＤＤＩ,技術/通信,1.67,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,2. 9983 ファストリ,消費/小売業,9.11,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,3. 8035 東エレク,技術/電気機器,8.76,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,4. 9984 ＳＢＧ,技術/通信,6.57,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,5. 6098 リクルート,消費/サービス,2.47,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,6. 6762 ＴＤＫ,技術/電気機器,2.38,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,7. 4062 イビデン,技術/電気機器,2.12,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,8. 285A キオクシア,技術/電気機器,1.78,%,2026-08-13T19:06:40+09:00
2026-08-13,ウェート上位,9. 5803 フジクラ,素材/非鉄・金属,1.7,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別ウェート,技術,,56.32,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別ウェート,消費,,20.32,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別ウェート,素材,,12.34,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別ウェート,資本財・その他,,6.9,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別ウェート,運輸・公共,,1.21,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別ウェート,金融,,2.91,%,2026-08-13T19:06:40+09:00
2026-08-13,セクター別寄与度,技術,,825.4,円,2026-08-13T19:06:40+09:00
2026-08-13,セクター別寄与度,消費,,-59.26,円,2026-08-13T19:06:40+09:00
2026-08-13,セクター別寄与度,素材,,-10.56,円,2026-08-13T19:06:40+09:00
2026-08-13,セクター別寄与度,資本財・その他,,8.0,円,2026-08-13T19:06:40+09:00
2026-08-13,セクター別寄与度,運輸・公共,,2.44,円,2026-08-13T19:06:40+09:00
2026-08-13,セクター別寄与度,金融,,18.52,円,2026-08-13T19:06:40+09:00
2026-08-13,上昇確率,上昇確率,,58.33,%,2026-08-13T19:06:40+09:00
2026-08-13,上昇確率,分,,0.0,回,2026-08-13T19:06:40+09:00
2026-08-13,上昇確率,勝,,35.0,回,2026-08-13T19:06:40+09:00
2026-08-13,上昇確率,負,,25.0,回,2026-08-13T19:06:40+09:00
2026-08-13,基本,除数,,29.83110217,,2026-08-13T19:06:40+09:00
2026-08-13,規模,売買代金合計,,8.3,兆円,2026-08-13T19:06:40+09:00
2026-08-13,規模,売買代金合計,対市場占有率,82.87,%,2026-08-13T19:06:40+09:00
2026-08-13,規模,時価総額合計,,1068.82,兆円,2026-08-13T19:06:40+09:00
2026-08-13,規模,時価総額合計,対市場占有率,77.08,%,2026-08-13T19:06:40+09:00
2026-08-13,配当利回り,配当利回り,単純平均,1.59,%,2026-08-13T19:06:40+09:00
2026-08-13,配当利回り,配当利回り,指数ベース,1.35,%,2026-08-13T19:06:40+09:00
2026-08-13,騰落銘柄数,上昇,,132.0,銘柄,2026-08-13T19:06:40+09:00
2026-08-13,騰落銘柄数,下落,,90.0,銘柄,2026-08-13T19:06:40+09:00
2026-08-13,騰落銘柄数,変わらず,,3.0,銘柄,2026-08-13T19:06:40+09:00
2026-08-14,PBR,PBR,加重平均,1.94,倍,2026-08-14T19:01:52+09:00
2026-08-14,PBR,PBR,指数ベース,2.84,倍,2026-08-14T19:01:52+09:00
2026-08-14,PER,PER,加重平均,17.65,倍,2026-08-14T19:01:52+09:00
2026-08-14,PER,PER,指数ベース,22.85,倍,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,1. 6857 アドテスト,技術/電気機器,12.95,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,10. 5803 フジクラ,素材/非鉄・金属,1.66,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,2. 9983 ファストリ,消費/小売業,9.03,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,3. 8035 東エレク,技術/電気機器,8.65,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,4. 9984 ＳＢＧ,技術/通信,6.72,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,5. 6098 リクルート,消費/サービス,2.41,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,6. 6762 ＴＤＫ,技術/電気機器,2.35,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,7. 4062 イビデン,技術/電気機器,2.03,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,8. 285A キオクシア,技術/電気機器,1.84,%,2026-08-14T19:01:52+09:00
2026-08-14,ウェート上位,9. 9433 ＫＤＤＩ,技術/通信,1.68,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別ウェート,技術,,56.54,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別ウェート,消費,,20.24,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別ウェート,素材,,12.25,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別ウェート,資本財・その他,,6.87,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別ウェート,運輸・公共,,1.22,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別ウェート,金融,,2.88,%,2026-08-14T19:01:52+09:00
2026-08-14,セクター別寄与度,技術,,378.7,円,2026-08-14T19:01:52+09:00
2026-08-14,セクター別寄与度,消費,,33.82,円,2026-08-14T19:01:52+09:00
2026-08-14,セクター別寄与度,素材,,-12.86,円,2026-08-14T19:01:52+09:00
2026-08-14,セクター別寄与度,資本財・その他,,7.1,円,2026-08-14T19:01:52+09:00
2026-08-14,セクター別寄与度,運輸・公共,,11.32,円,2026-08-14T19:01:52+09:00
2026-08-14,セクター別寄与度,金融,,-12.87,円,2026-08-14T19:01:52+09:00
2026-08-14,上昇確率,上昇確率,,59.02,%,2026-08-14T19:01:52+09:00
2026-08-14,上昇確率,分,,0.0,回,2026-08-14T19:01:52+09:00
2026-08-14,上昇確率,勝,,36.0,回,2026-08-14T19:01:52+09:00
2026-08-14,上昇確率,負,,25.0,回,2026-08-14T19:01:52+09:00
2026-08-14,基本,除数,,29.83110217,,2026-08-14T19:01:52+09:00
2026-08-14,規模,売買代金合計,,8.47,兆円,2026-08-14T19:01:52+09:00
2026-08-14,規模,売買代金合計,対市場占有率,82.13,%,2026-08-14T19:01:52+09:00
2026-08-14,規模,時価総額合計,,1074.55,兆円,2026-08-14T19:01:52+09:00
2026-08-14,規模,時価総額合計,対市場占有率,77.04,%,2026-08-14T19:01:52+09:00
2026-08-14,配当利回り,配当利回り,単純平均,1.62,%,2026-08-14T19:01:52+09:00
2026-08-14,配当利回り,配当利回り,指数ベース,1.38,%,2026-08-14T19:01:52+09:00
2026-08-14,騰落銘柄数,上昇,,132.0,銘柄,2026-08-14T19:01:52+09:00
2026-08-14,騰落銘柄数,下落,,92.0,銘柄,2026-08-14T19:01:52+09:00
2026-08-14,騰落銘柄数,変わらず,,1.0,銘柄,2026-08-14T19:01:52+09:00
2026-08-24,PBR,PBR,加重平均,1.87,倍,2026-08-24T18:47:25+09:00
2026-08-24,PBR,PBR,指数ベース,2.71,倍,2026-08-24T18:47:25+09:00
2026-08-24,PER,PER,加重平均,17.09,倍,2026-08-24T18:47:25+09:00
2026-08-24,PER,PER,指数ベース,21.8,倍,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,1. 6857 アドテスト,技術/電気機器,12.71,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,10. 4063 信越化,素材/化学,1.55,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,2. 9983 ファストリ,消費/小売業,8.94,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,3. 8035 東エレク,技術/電気機器,8.46,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,4. 9984 ＳＢＧ,技術/通信,6.11,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,5. 6098 リクルート,消費/サービス,2.53,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,6. 6762 ＴＤＫ,技術/電気機器,2.33,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,7. 4062 イビデン,技術/電気機器,1.92,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,8. 285A キオクシア,技術/電気機器,1.82,%,2026-08-24T18:47:25+09:00
2026-08-24,ウェート上位,9. 9433 ＫＤＤＩ,技術/通信,1.77,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別ウェート,技術,,55.54,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別ウェート,消費,,20.63,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別ウェート,素材,,12.48,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別ウェート,資本財・その他,,7.08,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別ウェート,運輸・公共,,1.34,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別ウェート,金融,,2.94,%,2026-08-24T18:47:25+09:00
2026-08-24,セクター別寄与度,技術,,-574.52,円,2026-08-24T18:47:25+09:00
2026-08-24,セクター別寄与度,消費,,36.88,円,2026-08-24T18:47:25+09:00
2026-08-24,セクター別寄与度,素材,,-6.72,円,2026-08-24T18:47:25+09:00
2026-08-24,セクター別寄与度,資本財・その他,,58.14,円,2026-08-24T18:47:25+09:00
2026-08-24,セクター別寄与度,運輸・公共,,3.72,円,2026-08-24T18:47:25+09:00
2026-08-24,セクター別寄与度,金融,,-5.77,円,2026-08-24T18:47:25+09:00
2026-08-24,上昇確率,上昇確率,,45.9,%,2026-08-24T18:47:25+09:00
2026-08-24,上昇確率,分,,0.0,回,2026-08-24T18:47:25+09:00
2026-08-24,上昇確率,勝,,28.0,回,2026-08-24T18:47:25+09:00
2026-08-24,上昇確率,負,,33.0,回,2026-08-24T18:47:25+09:00
2026-08-24,基本,除数,,29.83110217,,2026-08-24T18:47:25+09:00
2026-08-24,規模,売買代金合計,,5.76,兆円,2026-08-24T18:47:25+09:00
2026-08-24,規模,売買代金合計,対市場占有率,81.65,%,2026-08-24T18:47:25+09:00
2026-08-24,規模,時価総額合計,,1040.68,兆円,2026-08-24T18:47:25+09:00
2026-08-24,規模,時価総額合計,対市場占有率,76.78,%,2026-08-24T18:47:25+09:00
2026-08-24,配当利回り,配当利回り,単純平均,1.68,%,2026-08-24T18:47:25+09:00
2026-08-24,配当利回り,配当利回り,指数ベース,1.45,%,2026-08-24T18:47:25+09:00
2026-08-24,騰落銘柄数,上昇,,123.0,銘柄,2026-08-24T18:47:25+09:00
2026-08-24,騰落銘柄数,下落,,97.0,銘柄,2026-08-24T18:47:25+09:00
2026-08-24,騰落銘柄数,変わらず,,5.0,銘柄,2026-08-24T18:47:25+09:00
2026-08-26,ウェート上位,1. 6857 アドテスト,技術/電気機器,13.0,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,10. 5803 フジクラ,素材/非鉄・金属,1.61,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,2. 9983 ファストリ,消費/小売業,8.76,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,3. 8035 東エレク,技術/電気機器,8.42,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,4. 9984 ＳＢＧ,技術/通信,6.27,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,5. 6098 リクルート,消費/サービス,2.6,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,6. 6762 ＴＤＫ,技術/電気機器,2.3,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,7. 4062 イビデン,技術/電気機器,2.03,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,8. 285A キオクシア,技術/電気機器,1.77,%,2026-08-26T18:41:25+09:00
2026-08-26,ウェート上位,9. 9433 ＫＤＤＩ,技術/通信,1.76,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別ウェート,技術,,55.77,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別ウェート,消費,,20.45,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別ウェート,素材,,12.45,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別ウェート,資本財・その他,,7.02,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別ウェート,運輸・公共,,1.31,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別ウェート,金融,,3.0,%,2026-08-26T18:41:25+09:00
2026-08-26,セクター別寄与度,技術,,350.75,円,2026-08-26T18:41:25+09:00
2026-08-26,セクター別寄与度,消費,,16.81,円,2026-08-26T18:41:25+09:00
2026-08-26,セクター別寄与度,素材,,6.21,円,2026-08-26T18:41:25+09:00
2026-08-26,セクター別寄与度,資本財・その他,,11.36,円,2026-08-26T18:41:25+09:00
2026-08-26,セクター別寄与度,運輸・公共,,-7.05,円,2026-08-26T18:41:25+09:00
2026-08-26,セクター別寄与度,金融,,27.65,円,2026-08-26T18:41:25+09:00
2026-08-26,上昇確率,上昇確率,,52.46,%,2026-08-26T18:41:25+09:00
2026-08-26,上昇確率,分,,0.0,回,2026-08-26T18:41:25+09:00
2026-08-26,上昇確率,勝,,32.0,回,2026-08-26T18:41:25+09:00
2026-08-26,上昇確率,負,,29.0,回,2026-08-26T18:41:25+09:00
2026-08-26,基本,除数,,29.83110217,,2026-08-26T18:41:25+09:00
2026-08-26,騰落銘柄数,上昇,,125.0,銘柄,2026-08-26T18:41:25+09:00
2026-08-26,騰落銘柄数,下落,,96.0,銘柄,2026-08-26T18:41:25+09:00
2026-08-26,騰落銘柄数,変わらず,,4.0,銘柄,2026-08-26T18:41:25+09:00
