trade_date,rank,code,name,market,turnover,last,change,change_pct,fetched_at
2026-08-12,16,8316,三井住友ＦＧ,プライム,84516917600.0,6857.0,228.0,3.44,2026-08-12T19:05:17+09:00
2026-08-12,17,9983,ファストリ,プライム,78265791000.0,78050.0,-670.0,-0.85,2026-08-12T19:05:17+09:00
2026-08-12,18,8411,みずほＦＧ,プライム,76097207500.0,8502.0,258.0,3.13,2026-08-12T19:05:17+09:00
2026-08-12,19,5706,三井金属,プライム,75801687500.0,29000.0,1145.0,4.11,2026-08-12T19:05:17+09:00
2026-08-12,20,7203,トヨタ,プライム,70234833900.0,2999.5,18.5,0.62,2026-08-12T19:05:17+09:00
2026-08-12,21,6501,日立,プライム,65265099400.0,5669.0,49.0,0.87,2026-08-12T19:05:17+09:00
2026-08-12,22,4004,レゾナック,プライム,63799692000.0,17410.0,1075.0,6.58,2026-08-12T19:05:17+09:00
2026-08-12,23,7011,三菱重,プライム,62444093900.0,4094.0,90.0,2.25,2026-08-12T19:05:17+09:00
2026-08-12,24,6758,ソニーＧ,プライム,61539132800.0,3762.0,-2.0,-0.05,2026-08-12T19:05:17+09:00
2026-08-12,25,5016,ＪＸ金属,プライム,61136290800.0,3900.0,55.0,1.43,2026-08-12T19:05:17+09:00
2026-08-12,26,5802,住友電,プライム,61012336600.0,2270.0,109.0,5.04,2026-08-12T19:05:17+09:00
2026-08-12,27,6525,コクサイエレ,プライム,60325273100.0,8657.0,651.0,8.13,2026-08-12T19:05:17+09:00
2026-08-12,28,6861,キーエンス,プライム,57838775000.0,87200.0,2200.0,2.59,2026-08-12T19:05:17+09:00
2026-08-12,29,5713,住友鉱,プライム,53977570000.0,9684.0,-381.0,-3.79,2026-08-12T19:05:17+09:00
2026-08-12,30,4755,楽天グループ,プライム,52217512080.0,745.0,-119.0,-13.77,2026-08-12T19:05:17+09:00
