code,market_cap_million,as_of,close,finance_date,net_profit,eps,estimated_shares,source
7532,2411536.808,2026-08-31,807,2026-08-18,110088000000,36.84,2988273615.635,NP/EPS*close
7550,1961380.263,2026-08-31,11790,2026-08-07,15172000000,91.2,166359649.123,NP/EPS*close
7616,784984.211,2026-08-31,2146,2026-08-12,834000000,2.28,365789473.684,NP/EPS*close
7649,238929.483,2026-08-31,1320.5,2026-07-09,6901000000,38.14,180938647.09,NP/EPS*close
7701,1185637.169,2026-08-31,4103,2026-08-06,13333000000,46.14,288968357.174,NP/EPS*close
7729,720481.567,2026-08-31,17755,2026-08-04,4667000000,115.01,40579080.08,NP/EPS*close
7731,636093.478,2026-08-31,1929.5,2026-08-06,1289000000,3.91,329667519.182,NP/EPS*close
7733,2264598.029,2026-08-31,2105.5,2026-08-07,19102000000,17.76,1075563063.063,NP/EPS*close
7735,2571912.746,2026-08-31,13600,2026-08-13,10490000000,55.47,189111231.296,NP/EPS*close
7741,8231822.39,2026-08-31,24600,2026-07-31,65791000000,196.61,334626926.403,NP/EPS*close
7747,1002759.35,2026-08-31,3770,2026-08-14,32075000000,120.59,265983912.431,NP/EPS*close
7751,4051871.804,2026-08-31,4675,2026-07-27,171184000000,197.51,866710546.301,NP/EPS*close
7752,964117.611,2026-08-31,1697.5,2026-08-03,37088000000,65.3,567963246.554,NP/EPS*close
7832,3699129.707,2026-08-31,5720,2026-05-13,140651000000,217.49,646700997.747,NP/EPS*close
7846,225366.854,2026-08-31,2106.5,2026-08-06,10306000000,96.33,106986400.914,NP/EPS*close
7867,325422.056,2026-08-31,3745,2026-08-04,4058000000,46.7,86895074.946,NP/EPS*close
7911,1435631.187,2026-08-31,5093,2026-08-12,21674000000,76.89,281883209.78,NP/EPS*close
7912,1334596.13,2026-08-31,3101,2026-08-07,23576000000,54.78,430376049.653,NP/EPS*close
7936,3189592.858,2026-08-31,4500,2026-08-14,82171000000,115.93,708798412.835,NP/EPS*close
7951,589489.712,2026-08-31,1340,2026-08-04,10690000000,24.3,439917695.473,NP/EPS*close
7956,252918.346,2026-08-31,2115,2026-08-06,5221000000,43.66,119583142.464,NP/EPS*close
7974,10426130.841,2026-08-31,9044,2026-08-06,147423000000,127.88,1152822959.024,NP/EPS*close
7984,394633.925,2026-08-31,922.2,2026-07-31,14695000000,34.34,427926616.191,NP/EPS*close
7988,987156.924,2026-08-31,5300,2026-07-31,8890000000,47.73,186256023.465,NP/EPS*close
8001,14737087.197,2026-08-31,2108,2026-08-06,293763000000,42.02,6991028081.866,NP/EPS*close
8002,8045686.102,2026-08-31,4928,2026-08-05,186432000000,114.19,1632647342.149,NP/EPS*close
8012,479050.863,2026-08-31,1174.5,2026-08-04,14655000000,35.93,407876426.385,NP/EPS*close
8015,7747792.264,2026-08-31,7478,2026-07-31,135260000000,130.55,1036078130.984,NP/EPS*close
8020,375567.624,2026-08-31,2257,2026-08-04,11703000000,70.33,166401251.244,NP/EPS*close
8031,14199426.087,2026-08-31,5009,2026-08-04,294052000000,103.73,2834782608.696,NP/EPS*close
8035,25668048.594,2026-08-31,56440,2026-07-30,164341000000,361.36,454784702.236,NP/EPS*close
8053,8523638.611,2026-08-31,1791.5,2026-07-31,190075000000,39.95,4757822277.847,NP/EPS*close
8056,459991.555,2026-08-31,4762,2026-08-05,4484000000,46.42,96596294.701,NP/EPS*close
8058,17589958.248,2026-08-31,4804,2026-08-06,298524000000,81.53,3661523365.632,NP/EPS*close
8060,785926.817,2026-08-31,3739,2026-07-24,22613000000,107.58,210197062.651,NP/EPS*close
8086,251300.809,2026-08-31,1537,2026-08-10,3839000000,23.48,163500851.789,NP/EPS*close
8088,510040.168,2026-08-31,2216,2026-08-06,31721000000,137.82,230162530.837,NP/EPS*close
8111,293805.532,2026-08-31,2149,2026-08-06,2249000000,16.45,136717325.228,NP/EPS*close
8113,1722610.952,2026-08-31,997.1,2026-08-05,41031000000,23.75,1727621052.632,NP/EPS*close
8129,256749.586,2026-08-31,3951,2026-08-05,2355000000,36.24,64983443.709,NP/EPS*close
8136,1559479.219,2026-08-31,1286.5,2026-08-10,15516000000,12.8,1212187500,NP/EPS*close
8174,325110.021,2026-08-31,3053,2026-07-30,2593000000,24.35,106488706.366,NP/EPS*close
8227,679809.722,2026-08-31,3274,2026-06-29,12857000000,61.92,207638888.889,NP/EPS*close
