trade_date,category,name,symbol,source,open,high,low,close,volume,currency,exchange,fetched_at
1992-01-06,日本指数,日経平均,^N225,manual,23030.66,23801.78,23030.66,23801.18,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-07,日本指数,日経平均,^N225,manual,23781.24,23901.89,23514.28,23566.39,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-08,日本指数,日経平均,^N225,manual,23539.53,23539.53,22704.68,22715,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-09,日本指数,日経平均,^N225,manual,22736.85,23114.54,22544.34,23113.64,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-10,日本指数,日経平均,^N225,manual,23018.24,23018.24,22203.03,22381.9,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-13,日本指数,日経平均,^N225,manual,22299.63,22299.63,21596.95,21696.86,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-14,日本指数,日経平均,^N225,manual,21668.4,22019.94,21662.99,21775.13,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-16,日本指数,日経平均,^N225,manual,21875.34,22134.88,21500.55,21612.19,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-17,日本指数,日経平均,^N225,manual,21543.54,21660.29,21145.71,21321.37,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-20,日本指数,日経平均,^N225,manual,21348.93,21381,20684.74,20913.82,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-21,日本指数,日経平均,^N225,manual,20967.43,21241.31,20638.04,20858.3,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-22,日本指数,日経平均,^N225,manual,20851.29,21534.12,20702.98,21534.12,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-23,日本指数,日経平均,^N225,manual,21588.84,21794.17,21440.53,21580.72,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-24,日本指数,日経平均,^N225,manual,21527.81,21527.81,21008.92,21072.15,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-27,日本指数,日経平均,^N225,manual,21061.43,21078.87,20859.61,21007.11,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-28,日本指数,日経平均,^N225,manual,21027.66,21420.78,21027.66,21390.52,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-29,日本指数,日経平均,^N225,manual,21449.64,21581.02,21218.06,21362.26,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-30,日本指数,日経平均,^N225,manual,21372.48,21779.14,21334.3,21557.67,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-01-31,日本指数,日経平均,^N225,manual,21620.4,22343.22,21620.4,22023.05,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-03,日本指数,日経平均,^N225,manual,22075.86,22340.92,21973.95,22139.59,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-04,日本指数,日経平均,^N225,manual,22098.61,22116.54,21836.16,21999.6,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-05,日本指数,日経平均,^N225,manual,21970.44,22135.58,21844.67,21936.37,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-06,日本指数,日経平均,^N225,manual,21975.05,22284.8,21975.05,22104.92,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-07,日本指数,日経平均,^N225,manual,22169.36,22373.08,22103.42,22107.12,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-10,日本指数,日経平均,^N225,manual,22054.11,22054.11,21819.52,21819.52,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-12,日本指数,日経平均,^N225,manual,21781.44,21781.44,21475.6,21541.64,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-13,日本指数,日経平均,^N225,manual,21496.54,21596.65,21349.33,21391.02,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-14,日本指数,日経平均,^N225,manual,21392.82,21405.85,20883.86,20883.86,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-17,日本指数,日経平均,^N225,manual,20850.89,21325.68,20574.01,21324.98,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-18,日本指数,日経平均,^N225,manual,21263.85,21294.02,20807.4,20872.03,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-19,日本指数,日経平均,^N225,manual,20793.77,20793.77,20485.72,20618.3,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-20,日本指数,日経平均,^N225,manual,20632.33,20837.36,20621,20771.92,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-21,日本指数,日経平均,^N225,manual,20849.98,21291.81,20849.98,21291.81,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-24,日本指数,日経平均,^N225,manual,21286.7,21286.7,20890.37,20973.24,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-25,日本指数,日経平均,^N225,manual,20921.74,21093.9,20743.56,21025.55,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-26,日本指数,日経平均,^N225,manual,21016.43,21376.69,20940.07,21364.77,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-27,日本指数,日経平均,^N225,manual,21398.14,21547.65,21302.74,21333.7,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-02-28,日本指数,日経平均,^N225,manual,21353.74,21375.19,21241.11,21338.81,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-02,日本指数,日経平均,^N225,manual,21348.13,21550.86,21342.62,21487.82,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-03,日本指数,日経平均,^N225,manual,21503.06,21529.61,21051.71,21051.71,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-04,日本指数,日経平均,^N225,manual,21014.83,21112.24,20862.71,21105.42,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-05,日本指数,日経平均,^N225,manual,21095.9,21112.44,20864.42,20864.42,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-06,日本指数,日経平均,^N225,manual,20847.58,21113.54,20841.47,20992.99,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-09,日本指数,日経平均,^N225,manual,20989.78,20989.78,20696.06,20797.68,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-10,日本指数,日経平均,^N225,manual,20770.12,20854.59,20627.02,20854.59,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-11,日本指数,日経平均,^N225,manual,20811.3,20811.3,20567.59,20592.14,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-12,日本指数,日経平均,^N225,manual,20535.22,20713.9,20331.6,20561.88,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-13,日本指数,日経平均,^N225,manual,20555.27,20590.74,20168.15,20456.06,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-16,日本指数,日経平均,^N225,manual,20442.53,20442.53,19790.16,19837.16,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-17,日本指数,日経平均,^N225,manual,19829.94,19990.68,19687.94,19917.63,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-18,日本指数,日経平均,^N225,manual,19878.14,19878.14,19490.53,19764.31,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-19,日本指数,日経平均,^N225,manual,19789.36,20213.95,19732.84,20185.09,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-23,日本指数,日経平均,^N225,manual,20235.09,20434.71,20160.24,20239.6,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-24,日本指数,日経平均,^N225,manual,20199.52,20199.52,19866.32,19891.57,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-25,日本指数,日経平均,^N225,manual,19883.66,20230.18,19813.81,20226.78,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-26,日本指数,日経平均,^N225,manual,20256.82,20350.66,19885.29,19885.49,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-27,日本指数,日経平均,^N225,manual,19886.19,19942.79,19587.11,19636.99,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-30,日本指数,日経平均,^N225,manual,19615.11,19807.31,19445.91,19669.31,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-03-31,日本指数,日経平均,^N225,manual,19741.77,19914.69,19343.34,19345.95,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-01,日本指数,日経平均,^N225,manual,19325.47,19325.47,18562.63,18581.79,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-02,日本指数,日経平均,^N225,manual,18595.44,18804.4,18023.58,18286.03,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-03,日本指数,日経平均,^N225,manual,18344.64,18559.71,17846.55,18559.71,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-06,日本指数,日経平均,^N225,manual,18597.05,18670.81,18376.86,18436.37,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-07,日本指数,日経平均,^N225,manual,18437.78,18449.82,17775.39,17791.55,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-08,日本指数,日経平均,^N225,manual,17742.67,17742.67,16892.31,17175.53,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-09,日本指数,日経平均,^N225,manual,17137.39,17585.51,16598.15,16598.15,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-10,日本指数,日経平均,^N225,manual,16622.24,17850.66,16622.24,17850.66,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-13,日本指数,日経平均,^N225,manual,17880.37,17938.38,17153.25,17236.65,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-14,日本指数,日経平均,^N225,manual,17237.96,17607.69,16879.97,17439.58,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-15,日本指数,日経平均,^N225,manual,17492.47,18041.45,17492.47,17948.01,,JPY,Osaka,2026-08-12T20:50:03+09:00
1992-04-16,日本指数,日経平均,^N225,manual,17999.7,18192.89,17769.27,17959.76,,JPY,Osaka,2026-08-12T20:50:03+09:00
