trade_date,category,name,symbol,source,open,high,low,close,volume,currency,exchange,fetched_at
1997-01-06,日本指数,日経平均,^N225,manual,19364.24,19500.9,19203.53,19446,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-07,日本指数,日経平均,^N225,manual,19443.5,19443.5,18895.99,18896.19,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-08,日本指数,日経平均,^N225,manual,18911.16,18998.3,18555.8,18680.38,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-09,日本指数,日経平均,^N225,manual,18631.56,18726.49,18071.97,18073.87,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-10,日本指数,日経平均,^N225,manual,18056.3,18057.7,17123.58,17303.65,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-13,日本指数,日経平均,^N225,manual,17338.39,18151.93,17019.56,18118.79,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-14,日本指数,日経平均,^N225,manual,18061.19,18182.27,17545.52,18093.13,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-16,日本指数,日経平均,^N225,manual,18125.57,18317.63,17970.85,18144.34,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-17,日本指数,日経平均,^N225,manual,18097.42,18446.6,17969.55,18090.04,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-20,日本指数,日経平均,^N225,manual,18104.11,18108.6,17237.27,17480.34,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-21,日本指数,日経平均,^N225,manual,17441.21,17572.47,17282.69,17358.16,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-22,日本指数,日経平均,^N225,manual,17440.71,18065.98,17440.71,18013.88,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-23,日本指数,日経平均,^N225,manual,17982.13,18128.57,17878.02,17909.46,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-24,日本指数,日経平均,^N225,manual,17893.89,17893.89,17541.23,17689.36,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-27,日本指数,日経平均,^N225,manual,17657.92,17664.6,17280.2,17334.9,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-28,日本指数,日経平均,^N225,manual,17301.26,17796.57,17195.25,17796.57,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-29,日本指数,日経平均,^N225,manual,17843.38,18335.3,17664.5,18335.3,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-30,日本指数,日経平均,^N225,manual,18304.55,18365.64,17781.89,17864.04,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-01-31,日本指数,日経平均,^N225,manual,17948.89,18610.2,17948.89,18330.01,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-03,日本指数,日経平均,^N225,manual,18307.95,18307.95,18077.06,18085.95,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-04,日本指数,日経平均,^N225,manual,18158.32,18629.27,18158.32,18314.33,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-05,日本指数,日経平均,^N225,manual,18302.56,18307.35,17901.48,18185.97,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-06,日本指数,日経平均,^N225,manual,18199.64,18257.04,17875.22,18038.43,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-07,日本指数,日経平均,^N225,manual,18071.57,18266.62,17792.47,17867.04,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-10,日本指数,日経平均,^N225,manual,17881.91,18268.32,17843.38,18181.17,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-12,日本指数,日経平均,^N225,manual,18240.17,18520.76,18240.17,18409.96,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-13,日本指数,日経平均,^N225,manual,18505.09,18854.76,18505.09,18688.06,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-14,日本指数,日経平均,^N225,manual,18729.09,18880.61,18608.5,18722,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-17,日本指数,日経平均,^N225,manual,18730.88,18854.46,18653.92,18750.65,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-18,日本指数,日経平均,^N225,manual,18707.63,18727.59,18470.75,18470.75,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-19,日本指数,日経平均,^N225,manual,18482.63,18674.19,18329.01,18599.12,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-20,日本指数,日経平均,^N225,manual,18686.86,19101.22,18686.86,19051.71,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-21,日本指数,日経平均,^N225,manual,19031.14,19173.49,18965.16,19034.54,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-24,日本指数,日経平均,^N225,manual,19065.98,19229.49,18859.85,18896.99,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-25,日本指数,日経平均,^N225,manual,18854.46,19097.82,18775.9,19070.07,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-26,日本指数,日経平均,^N225,manual,19127.57,19216.51,18894.89,18990.92,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-27,日本指数,日経平均,^N225,manual,18936.11,19024.86,18854.96,19021.56,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-02-28,日本指数,日経平均,^N225,manual,19006.89,19006.89,18540.43,18557,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-03,日本指数,日経平均,^N225,manual,18517.17,18517.17,18345.58,18429.13,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-04,日本指数,日経平均,^N225,manual,18500.1,18688.86,18497.11,18564.78,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-05,日本指数,日経平均,^N225,manual,18618.09,18657.32,18208.23,18273.51,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-06,日本指数,日経平均,^N225,manual,18341.98,18435.02,17977.14,18041.33,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-07,日本指数,日経平均,^N225,manual,18000.6,18198.74,17836.99,18198.74,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-10,日本指数,日経平均,^N225,manual,18195.95,18195.95,17935.62,18113.89,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-11,日本指数,日経平均,^N225,manual,18129.77,18267.72,18088.94,18267.72,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-12,日本指数,日経平均,^N225,manual,18281.29,18326.21,18010.28,18183.27,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-13,日本指数,日経平均,^N225,manual,18144.14,18144.14,17900.48,17900.48,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-14,日本指数,日経平均,^N225,manual,17854.16,17940.31,17616.79,17923.64,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-17,日本指数,日経平均,^N225,manual,17962.47,18084.05,17863.85,18053.5,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-18,日本指数,日経平均,^N225,manual,18072.87,18445.2,18072.87,18445.2,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-19,日本指数,日経平均,^N225,manual,18490.42,18554.6,18378.62,18493.71,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-21,日本指数,日経平均,^N225,manual,18499.6,18633.66,18423.14,18633.16,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-24,日本指数,日経平均,^N225,manual,18682.57,18750.25,18043.82,18043.82,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-25,日本指数,日経平均,^N225,manual,18116.99,18548.61,18116.99,18439.61,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-26,日本指数,日経平均,^N225,manual,18460.85,18528.25,18189.12,18472.45,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-27,日本指数,日経平均,^N225,manual,18520.15,18594.26,18002.6,18210.42,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-28,日本指数,日経平均,^N225,manual,18184.12,18233.62,18057.71,18189.72,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-03-31,日本指数,日経平均,^N225,manual,18158.12,18204.82,17793.18,18003.4,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-01,日本指数,日経平均,^N225,manual,17934.79,17934.79,17529.05,17869.59,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-02,日本指数,日経平均,^N225,manual,17874.99,18047.9,17707.07,18037.3,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-03,日本指数,日経平均,^N225,manual,18021.5,18182.42,17973.3,18129.31,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-04,日本指数,日経平均,^N225,manual,18136.21,18136.21,17765.88,17860.59,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-07,日本指数,日経平均,^N225,manual,17901.89,17990.8,17663.77,17715.67,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-08,日本指数,日経平均,^N225,manual,17745.17,18035.1,17626.26,18021.7,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-09,日本指数,日経平均,^N225,manual,18006.5,18006.5,17703.37,17703.37,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-10,日本指数,日経平均,^N225,manual,17756.28,17933.59,17479.05,17485.75,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-11,日本指数,日経平均,^N225,manual,17493.15,17868.99,17447.64,17846.98,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-14,日本指数,日経平均,^N225,manual,17761.48,17826.88,17547.35,17692.47,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-15,日本指数,日経平均,^N225,manual,17712.07,18000.6,17712.07,17933.59,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-16,日本指数,日経平均,^N225,manual,17985.2,18093.91,17959.2,18031.2,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-17,日本指数,日経平均,^N225,manual,18016.3,18100.31,17970.1,18093.41,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-18,日本指数,日経平均,^N225,manual,18128.71,18370.04,18073.01,18352.14,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-21,日本指数,日経平均,^N225,manual,18399.54,18560.66,18399.54,18551.66,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-22,日本指数,日経平均,^N225,manual,18527.75,18731.67,18489.85,18544.45,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-23,日本指数,日経平均,^N225,manual,18617.76,18842.38,18617.76,18735.47,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-24,日本指数,日経平均,^N225,manual,18737.07,18982.7,18664.87,18698.07,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-25,日本指数,日経平均,^N225,manual,18647.86,18848.58,18571.36,18612.86,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-28,日本指数,日経平均,^N225,manual,18617.36,18684.07,18545.05,18670.37,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-04-30,日本指数,日経平均,^N225,manual,18764.08,19194.82,18764.08,19151.12,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-01,日本指数,日経平均,^N225,manual,19232.32,19588.36,19222.42,19275.33,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-02,日本指数,日経平均,^N225,manual,19243.92,19515.95,19187.72,19514.75,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-06,日本指数,日経平均,^N225,manual,19616.76,20222.52,19616.76,20180.92,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-07,日本指数,日経平均,^N225,manual,20146.61,20237.32,19952.1,20048.9,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-08,日本指数,日経平均,^N225,manual,19973.5,20107.21,19925.39,20061.81,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-09,日本指数,日経平均,^N225,manual,20097.01,20145.01,19757.18,19802.78,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-12,日本指数,日経平均,^N225,manual,19730.57,20148.21,19560.06,20143.51,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-13,日本指数,日経平均,^N225,manual,20206.72,20452.35,20119.61,20129.11,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-14,日本指数,日経平均,^N225,manual,20131.61,20209.72,20030.1,20209.72,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-15,日本指数,日経平均,^N225,manual,20162.22,20162.22,19854.99,20056.31,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-16,日本指数,日経平均,^N225,manual,20080.61,20347.53,20080.61,20324.73,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-19,日本指数,日経平均,^N225,manual,20290.23,20561.66,20205.62,20489.75,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-20,日本指数,日経平均,^N225,manual,20511.05,20612.26,20245.22,20332.83,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-21,日本指数,日経平均,^N225,manual,20322.43,20322.43,19763.88,19841.98,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-22,日本指数,日経平均,^N225,manual,19849.48,19938.89,19687.37,19877.39,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-23,日本指数,日経平均,^N225,manual,19931.69,20066.81,19906.99,20009,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-26,日本指数,日経平均,^N225,manual,20037,20154.52,19989.1,20043.5,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-27,日本指数,日経平均,^N225,manual,20067.51,20149.01,19848.38,19889.89,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-28,日本指数,日経平均,^N225,manual,19928.49,20351.64,19928.49,20351.34,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-29,日本指数,日経平均,^N225,manual,20366.84,20366.84,20125.11,20312.23,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-05-30,日本指数,日経平均,^N225,manual,20331.83,20390.44,20029.1,20068.81,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-02,日本指数,日経平均,^N225,manual,20083.51,20451.85,20040.7,20451.85,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-03,日本指数,日経平均,^N225,manual,20444.24,20671.97,20432.14,20563.16,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-04,日本指数,日経平均,^N225,manual,20592.46,20707.77,20512.25,20611.56,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-05,日本指数,日経平均,^N225,manual,20596.46,20605.96,20423.04,20488.15,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-06,日本指数,日経平均,^N225,manual,20474.15,20540.65,20362.64,20485.75,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-09,日本指数,日経平均,^N225,manual,20481.45,20526.55,20223.82,20223.82,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-10,日本指数,日経平均,^N225,manual,20227.92,20582.16,20227.92,20532.55,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-11,日本指数,日経平均,^N225,manual,20527.35,20633.86,20282.43,20289.93,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-12,日本指数,日経平均,^N225,manual,20340.43,20696.87,20340.43,20564.46,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-13,日本指数,日経平均,^N225,manual,20667.87,20815.48,20451.75,20528.35,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-16,日本指数,日経平均,^N225,manual,20594.96,20778.08,20549.35,20681.07,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-17,日本指数,日経平均,^N225,manual,20691.67,20720.67,20558.76,20593.66,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-18,日本指数,日経平均,^N225,manual,20597.66,20620.36,20428.74,20497.85,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-19,日本指数,日経平均,^N225,manual,20491.35,20591.46,20400.14,20507.85,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-20,日本指数,日経平均,^N225,manual,20535.65,20575.96,20356.54,20385.54,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-23,日本指数,日経平均,^N225,manual,20428.54,20461.55,20380.04,20436.14,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-24,日本指数,日経平均,^N225,manual,20383.34,20383.34,20215.12,20341.93,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-25,日本指数,日経平均,^N225,manual,20419.24,20736.17,20419.24,20679.27,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-26,日本指数,日経平均,^N225,manual,20714.67,20910.79,20624.66,20624.76,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-27,日本指数,日経平均,^N225,manual,20628.56,20742.67,20523.75,20523.75,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-06-30,日本指数,日経平均,^N225,manual,20585.86,20683.57,20493.05,20604.96,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-01,日本指数,日経平均,^N225,manual,20561.56,20561.56,20142.51,20175.52,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-02,日本指数,日経平均,^N225,manual,20203.52,20247.42,19975.5,20196.42,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-03,日本指数,日経平均,^N225,manual,20238.72,20252.13,20079.91,20121.41,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-04,日本指数,日経平均,^N225,manual,20122.81,20122.81,19907.39,19968,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-07,日本指数,日経平均,^N225,manual,19931.89,19931.89,19678.27,19705.17,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-08,日本指数,日経平均,^N225,manual,19731.97,19926.79,19731.97,19853.89,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-09,日本指数,日経平均,^N225,manual,19920.69,19963.6,19495.85,19697.17,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-10,日本指数,日経平均,^N225,manual,19709.77,19820.58,19608.76,19754.78,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-11,日本指数,日経平均,^N225,manual,19788.28,19892.59,19642.86,19875.49,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-14,日本指数,日経平均,^N225,manual,19909.09,20228.72,19909.09,20228.72,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-15,日本指数,日経平均,^N225,manual,20236.82,20242.62,20037.4,20069.41,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-16,日本指数,日経平均,^N225,manual,20139.31,20435.64,20139.31,20358.74,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-17,日本指数,日経平均,^N225,manual,20412.24,20584.96,20308.73,20519.25,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-18,日本指数,日経平均,^N225,manual,20444.24,20545.15,20248.12,20249.32,,JPY,Osaka,2026-08-12T20:50:03+09:00
1997-07-22,日本指数,日経平均,^N225,manual,20246.82,20280.33,20055.61,20157.02,,JPY,Osaka,2026-08-12T20:50:03+09:00
