trade_date,name,open,high,low,close,change,change_pct,fetched_at
2016-02-05,ブルジョワ地主指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,政治寄生指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,中抜きピンハネ指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,ライフライン占有指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,日銭商い指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,ハードグッズ指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,自己顕示欲指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,脳Hack指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,テクノロジー指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-05,ライジングサン指数,,,,100,,,2026-08-30T19:23:52+09:00
2016-02-08,ブルジョワ地主指数,,,,100.0258,0.0258,0.0258,2026-08-30T19:23:52+09:00
2016-02-08,政治寄生指数,,,,101.6236,1.6236,1.6236,2026-08-30T19:23:52+09:00
2016-02-08,中抜きピンハネ指数,,,,100.9767,0.9767,0.9767,2026-08-30T19:23:52+09:00
2016-02-08,ライフライン占有指数,,,,102.0528,2.0528,2.0528,2026-08-30T19:23:52+09:00
2016-02-08,日銭商い指数,,,,101.2694,1.2694,1.2694,2026-08-30T19:23:52+09:00
2016-02-08,ハードグッズ指数,,,,100.5239,0.5239,0.5239,2026-08-30T19:23:52+09:00
2016-02-08,自己顕示欲指数,,,,101.5163,1.5163,1.5163,2026-08-30T19:23:52+09:00
2016-02-08,脳Hack指数,,,,102.58,2.58,2.58,2026-08-30T19:23:52+09:00
2016-02-08,テクノロジー指数,,,,100.9907,0.9907,0.9907,2026-08-30T19:23:52+09:00
2016-02-08,ライジングサン指数,,,,100.8094,0.8094,0.8094,2026-08-30T19:23:52+09:00
2016-02-09,ブルジョワ地主指数,,,,94.0122,-6.0136,-6.012,2026-08-30T19:23:52+09:00
2016-02-09,政治寄生指数,,,,97.0774,-4.5462,-4.4736,2026-08-30T19:23:52+09:00
2016-02-09,中抜きピンハネ指数,,,,94.916,-6.0607,-6.0021,2026-08-30T19:23:52+09:00
2016-02-09,ライフライン占有指数,,,,98.6783,-3.3745,-3.3066,2026-08-30T19:23:52+09:00
2016-02-09,日銭商い指数,,,,97.484,-3.7854,-3.738,2026-08-30T19:23:52+09:00
2016-02-09,ハードグッズ指数,,,,94.321,-6.2029,-6.1706,2026-08-30T19:23:52+09:00
2016-02-09,自己顕示欲指数,,,,96.0279,-5.4884,-5.4064,2026-08-30T19:23:52+09:00
2016-02-09,脳Hack指数,,,,96.5701,-6.0099,-5.8587,2026-08-30T19:23:52+09:00
2016-02-09,テクノロジー指数,,,,94.7065,-6.2842,-6.2226,2026-08-30T19:23:52+09:00
2016-02-09,ライジングサン指数,,,,94.4277,-6.3817,-6.3305,2026-08-30T19:23:52+09:00
2016-02-10,ブルジョワ地主指数,,,,90.0536,-3.9586,-4.2107,2026-08-30T19:23:52+09:00
2016-02-10,政治寄生指数,,,,94.2822,-2.7952,-2.8794,2026-08-30T19:23:52+09:00
2016-02-10,中抜きピンハネ指数,,,,91.0691,-3.8469,-4.053,2026-08-30T19:23:52+09:00
