trade_date,group,section,item,column,value,unit,note,fetched_at
2026-08-10,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),売り,新規(千円),66680494.0,,,2026-08-13T07:31:44+09:00
2026-08-10,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),売り,返済(千円),62489703.0,,買い,2026-08-13T07:31:44+09:00
2026-08-10,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),新規牛熊比率(%),新規(千円),47.31,,,2026-08-13T07:31:44+09:00
2026-08-10,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),買い,新規(千円),59861018.0,,,2026-08-13T07:31:44+09:00
2026-08-10,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),買い,返済(千円),68830668.0,,売り,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),先導株比率(売買代金上位占有率),全体(%),上位10銘柄,64.6,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),先導株比率(売買代金上位占有率),全体(%),上位20銘柄,75.0,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),先導株比率(売買代金上位占有率),売り(%),上位10銘柄,65.4,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),先導株比率(売買代金上位占有率),売り(%),上位20銘柄,75.7,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),先導株比率(売買代金上位占有率),買い(%),上位10銘柄,63.7,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),先導株比率(売買代金上位占有率),買い(%),上位20銘柄,74.5,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,合計 (億円),内グロース市場,66.12,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,合計 (億円),東証,4986.68,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,売り代金 (億円),内グロース市場,34.95,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,売り代金 (億円),東証,2533.72,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,牛熊比率 (%),内グロース市場,47.14,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,牛熊比率 (%),東証,49.19,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,買い代金 (億円),内グロース市場,31.17,,,2026-08-13T07:31:44+09:00
2026-08-10,取引動向(松井証券店内),市場別株式売買代金,買い代金 (億円),東証,2452.96,,,2026-08-13T07:31:44+09:00
2026-08-12,信用取引指標(松井証券店内),信用残速報,※倍率,信用残(億円),18.818,倍,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),信用残速報,売り残,信用残(億円),255.54,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),信用残速報,売り残,評価損益率(%),-21.429,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),信用残速報,買い残,信用残(億円),4808.69,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),信用残速報,買い残,評価損益率(%),-4.95,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),新規/返済申込速報,売り,差引(百万円),2447.0,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),新規/返済申込速報,売り,新規(百万円),82773.0,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),新規/返済申込速報,売り,返済(百万円),80327.0,,買い,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),新規/返済申込速報,買い,差引(百万円),-4539.0,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),新規/返済申込速報,買い,新規(百万円),135227.0,,,2026-08-14T07:32:36+09:00
2026-08-12,信用取引指標(松井証券店内),新規/返済申込速報,買い,返済(百万円),139765.0,,売り,2026-08-14T07:32:36+09:00
2026-08-12,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),売り,新規(千円),77407859.0,,,2026-08-14T07:32:36+09:00
2026-08-12,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),売り,返済(千円),76176101.0,,買い,2026-08-14T07:32:36+09:00
2026-08-12,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),新規牛熊比率(%),新規(千円),53.5,,,2026-08-14T07:32:36+09:00
2026-08-12,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),買い,新規(千円),89043875.0,,,2026-08-14T07:32:36+09:00
2026-08-12,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),買い,返済(千円),87590170.0,,売り,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),先導株比率(売買代金上位占有率),全体(%),上位10銘柄,67.4,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),先導株比率(売買代金上位占有率),全体(%),上位20銘柄,76.7,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),先導株比率(売買代金上位占有率),売り(%),上位10銘柄,67.3,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),先導株比率(売買代金上位占有率),売り(%),上位20銘柄,76.7,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),先導株比率(売買代金上位占有率),買い(%),上位10銘柄,68.0,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),先導株比率(売買代金上位占有率),買い(%),上位20銘柄,77.2,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,合計 (億円),内グロース市場,75.98,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,合計 (億円),東証,4833.41,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,売り代金 (億円),内グロース市場,38.83,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,売り代金 (億円),東証,2478.76,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,牛熊比率 (%),内グロース市場,48.89,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,牛熊比率 (%),東証,48.72,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,買い代金 (億円),内グロース市場,37.15,,,2026-08-14T07:32:36+09:00
2026-08-12,取引動向(松井証券店内),市場別株式売買代金,買い代金 (億円),東証,2354.65,,,2026-08-14T07:32:36+09:00
2026-08-13,信用取引指標(松井証券店内),信用残速報,※倍率,信用残(億円),17.34,倍,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),信用残速報,売り残,信用残(億円),274.85,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),信用残速報,売り残,評価損益率(%),-21.192,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),信用残速報,買い残,信用残(億円),4765.89,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),信用残速報,買い残,評価損益率(%),-3.923,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),新規/返済申込速報,売り,差引(百万円),2313.0,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),新規/返済申込速報,売り,新規(百万円),97585.0,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),新規/返済申込速報,売り,返済(百万円),95272.0,,買い,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),新規/返済申込速報,買い,差引(百万円),-2685.0,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),新規/返済申込速報,買い,新規(百万円),169136.0,,,2026-08-15T07:13:40+09:00
2026-08-13,信用取引指標(松井証券店内),新規/返済申込速報,買い,返済(百万円),171820.0,,売り,2026-08-15T07:13:40+09:00
2026-08-13,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),売り,新規(千円),56365833.0,,,2026-08-15T07:13:40+09:00
2026-08-13,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),売り,返済(千円),57635321.0,,買い,2026-08-15T07:13:40+09:00
2026-08-13,先物指標(松井証券店内),先物指標(日経225先物・日経225mini・日経225マイクロ),新規牛熊比率(%),新規(千円),59.45,,,2026-08-15T07:13:40+09:00
