code,major,sector,industry,demand
1332,内需・国内景気,国内消費,食品・生活用品,内需
1333,内需・国内景気,国内消費,食品・生活用品,内需
1414,内需・国内景気,国内建設・不動産,インフラ系,強内需
1417,内需・国内景気,国内建設・不動産,建設設備,強内需
1605,資源・市況,エネルギー・資源,石油・ガス・資源,強外需
1719,内需・国内景気,国内建設・不動産,インフラ系,強内需
1721,内需・国内景気,国内建設・不動産,建設設備,強内需
1801,内需・国内景気,国内建設・不動産,インフラ系,強内需
1802,内需・国内景気,国内建設・不動産,インフラ系,強内需
1803,内需・国内景気,国内建設・不動産,インフラ系,強内需
1808,内需・国内景気,国内建設・不動産,インフラ系,強内需
1812,内需・国内景気,国内建設・不動産,インフラ系,強内需
1820,内需・国内景気,国内建設・不動産,インフラ系,強内需
1860,内需・国内景気,国内建設・不動産,インフラ系,強内需
1878,内需・国内景気,国内建設・不動産,不動産,強内需
1893,内需・国内景気,国内建設・不動産,インフラ系,強内需
1911,内需・国内景気,国内建設・不動産,住宅系,内外均衡
1925,内需・国内景気,国内建設・不動産,不動産,内需
1928,内需・国内景気,国内建設・不動産,不動産,内需
1942,内需・国内景気,国内建設・不動産,建設設備,強内需
1944,内需・国内景気,国内建設・不動産,建設設備,強内需
1951,内需・国内景気,国内建設・不動産,建設設備,強内需
1959,内需・国内景気,国内建設・不動産,建設設備,強内需
1963,外需・グローバル景気,機械,産業・建設機械,外需
1969,内需・国内景気,国内建設・不動産,建設設備,強内需
2002,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2127,内需・国内景気,国内サービス,B2B,強内需
2181,内需・国内景気,国内サービス,B2B,内需
2201,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2206,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2212,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2222,内需・国内景気,国内消費,食品・生活用品,強内需
2229,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2264,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2267,ディフェンシブ・公共,ディフェンシブ消費,生活品,内外均衡
2269,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2282,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2327,内需・国内景気,国内情報通信,B2B,強内需
2331,内需・国内景気,国内サービス,B2C,強内需
2371,内需・国内景気,国内情報通信,B2C,強内需
2413,内需・国内景気,ヘルスケア,医療サービス・機器,内外均衡
2432,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
2433,内需・国内景気,国内サービス,B2B,強内需
2501,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2502,ディフェンシブ・公共,ディフェンシブ消費,奢侈品,強内需
2503,ディフェンシブ・公共,ディフェンシブ消費,奢侈品,強内需
2531,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2579,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2587,ディフェンシブ・公共,ディフェンシブ消費,生活品,内外均衡
2593,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2607,ディフェンシブ・公共,ディフェンシブ消費,生活品,内外均衡
2670,内需・国内景気,国内消費,生活小売,内需
2768,資源・市況,総合商社,総合商社,強外需
2784,内需・国内景気,ヘルスケア,医薬品卸,強内需
2801,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2802,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2809,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2810,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2811,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
285A,外需・グローバル景気,半導体,半導体デバイス・メモリ,強外需
2871,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2875,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2897,ディフェンシブ・公共,ディフェンシブ消費,生活品,強内需
2914,ディフェンシブ・公共,ディフェンシブ消費,奢侈品,強外需
3003,内需・国内景気,国内建設・不動産,不動産,強内需
3038,内需・国内景気,国内サービス,B2B,内需
3048,内需・国内景気,国内消費,生活小売,強内需
3064,内需・国内景気,国内消費,食品・生活用品,内需
3086,内需・国内景気,国内消費,余剰小売,強内需
3088,内需・国内景気,国内消費,生活小売,強内需
3092,内需・国内景気,国内消費,余剰小売,強内需
3099,内需・国内景気,国内消費,余剰小売,強内需
3105,外需・グローバル景気,電機・電子,電子部品・電子機器,外需
3107,外需・グローバル景気,専門商社,専門商社,外需
3116,外需・グローバル景気,自動車,自動車部品,強外需
3132,外需・グローバル景気,専門商社,専門商社,外需
3197,内需・国内景気,国内消費,外食,内需
3231,内需・国内景気,国内建設・不動産,不動産,強内需
3288,内需・国内景気,国内建設・不動産,不動産,強内需
3289,内需・国内景気,国内建設・不動産,不動産,強内需
3291,内需・国内景気,国内建設・不動産,不動産,強内需
3349,内需・国内景気,国内消費,生活小売,強内需
3360,内需・国内景気,ヘルスケア,医療サービス・機器,強内需
3382,内需・国内景気,国内消費,生活小売,強内需
3391,内需・国内景気,国内消費,生活小売,強内需
3397,内需・国内景気,国内消費,外食,内需
3401,外需・グローバル景気,素材,素材・建材,外需
3402,外需・グローバル景気,素材,素材・建材,外需
3405,外需・グローバル景気,素材,化学・機能材料,外需
3407,外需・グローバル景気,素材,化学・機能材料,外需
3436,外需・グローバル景気,半導体,半導体材料,強外需
3549,内需・国内景気,国内消費,生活小売,強内需
3563,内需・国内景気,国内消費,生活小売,内外均衡
3591,内需・国内景気,国内消費,生活小売,内需
3626,内需・国内景気,国内情報通信,B2B,強内需
3635,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
3659,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
3697,内需・国内景気,国内情報通信,B2B,強内需
3769,内需・国内景気,国内情報通信,B2C,強内需
