カレンダー
ニュース
マーケッツ
インジケータ
カントリー
予想
日用品
インデックス
株式
通貨
暗号
ボンズ
収益
休日
日用品
インデックス
株式
通貨
暗号
ボンズ
 エクスポート
 収益率
 地図
 散布
 相関関係
 予想
		価格	前日比	毎週	毎月	YTD	YoY	日付
	コロンビア	12.6220	 0.0350	0.24%	0.61%	-0.03%	1.52%	2026-09-16


	アジア	価格	前日比	毎週	毎月	YTD	YoY	日付

	日本	2.9960	 0.0040	0.08%	0.06%	0.92%	1.40%	2026-09-17

	インド	7.0700	 0.0080	0.10%	0.25%	0.50%	0.56%	2026-09-17

	中国	1.6790	 0.0050	-0.01%	0.00%	-0.18%	-0.19%	2026-09-17

	シンガポール	2.5059	 0.0035	0.11%	0.15%	0.28%	0.74%	2026-09-17

	韓国	4.5210	 0.0320	0.07%	0.15%	1.14%	1.79%	2026-09-17

	台湾	1.9400	 0.0000	0.03%	0.04%	0.54%	0.55%	2026-09-17

	タイ	2.3130	 0.0570	0.05%	0.21%	0.65%	0.95%	2026-09-17

	ベトナム	4.5720	 0.0051	0.00%	0.00%	0.39%	0.88%	2026-09-17

	香港	3.8520	 0.0069	0.15%	0.22%	0.75%	0.83%	2026-09-17

	インドネシア	7.1570	 0.0160	0.06%	0.06%	1.04%	0.85%	2026-09-17

	イスラエル	3.9710	 0.0290	-0.01%	0.11%	0.06%	-0.21%	2026-09-17

	マレーシア	4.0534	 0.1649	-0.09%	0.29%	0.56%	0.66%	2026-09-17

	パキスタン	12.3450	 0.0230	0.10%	0.38%	0.94%	0.35%	2026-09-16

	フィリピン	7.5280	 0.0530	0.15%	0.28%	1.49%	1.60%	2026-09-17


	オーストラリア	価格	前日比	毎週	毎月	YTD	YoY	日付

	オーストラリア	5.2710	 0.0900	0.02%	0.20%	0.51%	1.08%	2026-09-17

	ニュージーランド	5.0120	 0.0139	0.12%	0.26%	0.61%	0.78%	2026-09-17


	アフリカ	価格	前日比	毎週	毎月	YTD	YoY	日付

	南アフリカ	8.7850	 0.1150	-0.09%	0.08%	0.58%	-0.40%	2026-09-17

	ザンビア	15.7900	 0.0000	0.00%	-1.02%	-2.06%	-3.71%	2026-09-17

	ケニア	12.4700	 0.0000	0.04%	-0.02%	-0.17%	-0.96%	2026-09-17

	ナイジェリア	16.7480	 0.0010	-0.08%	-0.55%	-0.06%	0.11%	2026-09-16


政府債券利回りは、シリコンバレー銀行の崩壊後、投資家が利上げへの賭けを削減し、安全を求めたことでさらに低下しました。米国10年債利回りは3.5%の5週間ぶりの低水準に低下し、2年債利回りはほぼ50bps減の4.05%となり、1987年以来の最大の3日間の急落となりました。ドイツでは、10年債利回りがほぼ30bps減の2.17%に低下し、英国ジルトは3.27%に下落しました。 このページでは、実際の値、合意された数字、予測、統計、および政府債10年の国のリストに関する歴史的なデータチャートを含むテーブルを表示しています。 このページでは、最新の利回り価格、過去の値、およびチャートを含む、複数の国の政府債券利回りが提供されています。.





スタート画面  |  カントリー   |  インジケータ   |  Tradingeconomicsについて   |  接触

English
Español
Português
Français

Deutsch
Italiano
Polski
Indonesian

Русский
Türkçe
العربية

简体中文
日本語
한국어




Copyright ©2026 TRADING ECONOMICS
All Rights Reserved




﻿
