日付,終値,始値,高値,安値,出来高,変化率 %
2026/8/14,758,742.86,763.27,742.69,,2.01%
2026/8/13,743.1,743.04,746.73,738.88,,-0.35%
2026/8/12,745.68,738.58,745.68,737.44,,1.15%
2026/8/10,737.17,728.01,740.11,726.33,,1.81%
2026/8/7,724.09,721.56,724.09,715.32,,0.44%
2026/8/6,720.92,718.82,725.55,717.18,,-0.34%
2026/8/5,723.41,708.34,724.63,708.03,,2.78%
2026/8/4,703.82,691.7,705.47,690.07,,2.35%
2026/8/3,687.65,681.94,688.99,672.48,,0.24%
2026/7/31,685.97,671.3,690.01,669.13,,2.85%
2026/7/30,666.97,665.79,671.39,662.31,,0.13%
2026/7/29,666.12,680.46,680.46,659.08,,-1.54%
2026/7/28,676.57,692.52,692.52,675.13,,-2.64%
2026/7/27,694.92,689.46,695.34,684.27,,1.28%
2026/7/24,686.12,692.28,692.28,683.32,,-1.92%
2026/7/23,699.52,695.41,704.55,695.41,,0.43%
2026/7/22,696.54,704.18,708.31,696.54,,-1.07%
2026/7/21,704.07,696.94,706.98,693.62,,1.28%
2026/7/18,695.17,712.85,695.17,695.17,,0.00%
2026/7/17,695.17,712.85,713.12,684.62,,-3.38%
2026/7/16,719.47,734.11,738.94,718.16,,-2.34%
2026/7/15,736.74,720.71,736.79,716.19,,2.10%
2026/7/14,721.57,717.45,722.97,713.84,,0.66%
2026/7/13,716.87,719.09,732,711.28,,-0.28%
2026/7/10,718.88,714.99,724.65,712.24,,0.47%
2026/7/9,715.54,710.77,718.41,708.7,,0.58%
2026/7/8,711.43,725.93,725.93,711.43,,-2.63%
2026/7/7,730.63,740.3,747.85,728.49,,-1.76%
2026/7/6,743.75,735.5,748.73,734.31,,1.44%
2026/7/3,733.18,717.8,733.18,717.48,,2.90%
2026/7/2,712.49,703.42,719.24,702.53,,1.83%
2026/7/1,699.67,703.95,708.11,696.16,,-0.98%
2026/6/30,706.62,703.48,708.3,698.68,,0.55%
2026/6/29,702.77,689.69,702.77,687.19,,2.96%
2026/6/26,682.55,693.58,695.63,678.49,,-2.51%
2026/6/25,700.14,702.56,702.56,693.83,,0.69%
2026/6/24,695.31,701.1,705.85,693.06,,-0.15%
2026/6/23,696.37,716.51,720.22,696.07,,-2.92%
2026/6/22,717.31,697.57,723.46,696.72,,3.20%
2026/6/19,695.08,713.88,713.89,691.39,,-2.90%
2026/6/18,715.81,713.44,722.14,710.49,,0.47%
2026/6/17,712.43,716.52,720.74,709.87,,-0.26%
2026/6/16,714.31,713.53,719.32,706.62,,0.18%
2026/6/15,713,727.4,728.18,710.19,,-1.59%
2026/6/12,724.49,730.31,736.09,718.49,,0.21%
2026/6/11,722.99,714.46,723.68,704.04,,0.07%
2026/6/10,722.49,736.83,736.83,712.86,,-2.45%
2026/6/9,740.6,753.06,757.32,735.4,,-0.99%
2026/6/8,748.04,754.71,758.73,741.47,,-2.27%
2026/6/5,765.45,748.9,771.94,748.9,,2.91%
2026/6/4,743.77,758.19,759.13,742.81,,-2.65%
2026/6/3,764.02,770.88,771.18,754.09,,-1.00%
2026/6/2,771.72,778.87,778.87,754.87,,-1.52%
2026/6/1,783.6,816.19,816.19,775.4,,-4.25%
2026/5/29,818.37,836.3,842.88,813.83,,-1.64%
2026/5/28,832.01,823.21,842.94,815.63,,0.63%
2026/5/27,826.84,844.64,849.22,820.09,,-1.85%
2026/5/26,842.44,841.08,843.57,822.13,,-0.11%
2026/5/25,843.39,834.38,848.74,831.67,,1.82%
2026/5/23,828.32,800.76,828.32,828.32,,0.00%
2026/5/22,828.32,800.76,829.13,800.76,,3.94%
2026/5/21,796.92,795.96,804.16,787.11,,1.36%
2026/5/20,786.25,818.32,818.81,782.84,,-4.47%
2026/5/19,823.01,805.75,834.68,804.94,,3.11%
2026/5/18,798.21,800.25,801.31,780.02,,0.30%
2026/5/15,795.84,806.12,824.7,789.42,,-0.96%
2026/5/14,803.52,824.2,827.51,799.74,,-2.92%
2026/5/13,827.65,815.72,837.24,807.53,,1.10%
2026/5/12,818.64,841.55,847.91,811.31,,-2.85%
2026/5/11,842.66,834.91,852.92,834.13,,1.73%
2026/5/8,828.35,793.78,828.75,793.78,,4.71%
2026/5/7,791.12,778.62,794.54,778.62,,2.58%
2026/5/1,771.25,769.58,779.99,768.03,,0.60%
2026/4/30,766.65,770.76,771.09,760.92,,-0.98%
2026/4/28,774.22,764.34,774.58,761.19,,1.53%
2026/4/27,762.59,769.15,769.16,756.37,,-0.72%
2026/4/24,768.1,777.23,779.15,763.55,,-1.26%
2026/4/23,777.87,800.89,800.89,769.11,,-2.99%
2026/4/22,801.82,804.1,806.91,796.37,,-0.47%
2026/4/21,805.6,807.42,811.02,800.81,,0.37%
2026/4/20,802.63,792.87,809.32,790.79,,1.56%
2026/4/17,790.28,791.52,794.74,786.07,,-0.09%
2026/4/16,791,782.06,794.02,782.06,,1.90%
2026/4/15,776.24,776.78,784.24,770.68,,0.76%
2026/4/14,770.35,766.76,772.86,761.68,,1.39%
2026/4/13,759.78,758.43,762.8,754.01,,-0.66%
2026/4/11,764.84,761.39,764.84,764.84,,0.00%
2026/4/10,764.84,761.39,772.4,759.23,,0.55%
2026/4/9,760.62,768.41,771.41,757.76,,-1.88%
2026/4/8,775.18,754.39,775.18,754.39,,4.34%
2026/4/7,742.91,742.34,755,736.41,,0.30%
2026/4/6,740.69,736.05,746.51,736.05,,1.03%
2026/4/3,733.16,733.03,741.27,728.5,,1.28%
2026/4/2,723.9,739.18,749.1,721.62,,-1.83%
2026/4/1,737.39,711.22,737.39,711.22,,5.48%
2026/3/31,699.09,707.18,716.08,697.38,,-1.53%
2026/3/30,709.93,719.89,720.41,697.87,,-3.33%
2026/3/27,734.4,720.93,737.49,717.03,,1.96%
2026/3/26,720.29,739.98,741.01,716.42,,-2.86%
2026/3/25,741.48,731.56,743.96,731.56,,2.34%
2026/3/24,724.55,718.19,729.9,711.18,,2.75%
2026/3/23,705.16,732.21,732.21,704.2,,-5.33%
2026/3/19,744.86,767.18,767.18,743.39,,-4.35%
2026/3/18,778.71,757.79,778.71,757.4,,3.73%
2026/3/17,750.72,768.56,774.03,747.96,,-1.62%
2026/3/16,763.1,756.24,768.57,755.97,,0.74%
2026/3/13,757.51,752.72,765.11,749.36,,-0.48%
2026/3/12,761.15,772.81,772.81,755.98,,-2.42%
2026/3/11,780.04,774.29,788.08,773.93,,0.97%
2026/3/10,772.53,751.02,772.68,751.02,,3.96%
2026/3/9,743.09,755.75,755.78,720.5,,-3.59%
2026/3/6,770.8,747.07,771.62,746.28,,2.83%
2026/3/5,749.61,726.6,761.05,726.6,,5.11%
2026/3/4,713.2,734.51,744.82,702.89,,-4.18%
2026/3/3,744.33,768.26,775.06,744.18,,-3.16%
2026/3/2,768.64,767.03,772.59,757.15,,-1.16%
2026/2/27,777.7,754.18,777.7,754.18,,3.83%
2026/2/26,749.03,741.39,751.23,741.17,,1.84%
2026/2/25,735.47,732.89,744.84,732.89,,0.90%
2026/2/24,728.94,743.76,744.45,728.94,,-2.27%
2026/2/21,745.89,760.63,745.89,745.89,,0.00%
2026/2/20,745.89,760.63,764.96,745.01,,-1.94%
2026/2/19,760.63,759.88,761.69,750.76,,0.18%
2026/2/18,759.29,743.09,763.95,741.81,,2.62%
2026/2/17,739.93,742.25,747.4,733.54,,-0.38%
2026/2/16,742.72,726.25,742.72,725.83,,2.80%
2026/2/13,722.48,731.26,734.54,720.02,,-1.79%
2026/2/12,735.65,732.16,739.8,731.6,,0.35%
2026/2/10,733.09,718.03,734.19,718.03,,2.54%
2026/2/9,714.96,718.27,719.09,712.71,,0.61%
2026/2/7,710.62,706.65,710.62,710.62,,0.00%
2026/2/6,710.62,706.65,710.62,694.23,,-0.20%
2026/2/5,712.01,708.15,720.58,706.47,,0.27%
2026/2/4,710.08,712.68,712.68,704.75,,-0.75%
2026/2/3,715.44,708.2,716.58,706.74,,1.44%
2026/2/2,705.26,707.37,719.57,704.87,,-0.45%
2026/1/30,708.44,703.06,710.23,701,,0.39%
2026/1/29,705.67,703.07,707.77,697.4,,0.16%
2026/1/28,704.52,713.35,713.35,702.38,,-1.68%
2026/1/27,716.55,717.96,719.25,710.58,,-0.35%
2026/1/26,719.07,725.4,731.47,718.14,,-1.35%
2026/1/23,728.89,718.18,732.47,714.81,,1.82%
2026/1/22,715.87,724.59,726.76,715.87,,-0.68%
2026/1/21,720.8,722.36,726.46,717.48,,-1.76%
2026/1/20,733.72,747.41,748.63,731.48,,-1.97%
2026/1/19,748.44,733.9,748.56,732.38,,1.96%
2026/1/16,734.02,732,738.14,723.85,,0.25%
2026/1/15,732.21,706.58,732.73,706.58,,3.66%
2026/1/14,706.38,710.5,715.61,705,,-0.87%
2026/1/13,712.58,717,717,708.63,,0.75%
2026/1/9,707.29,704.2,709.49,702.77,,0.74%
2026/1/8,702.11,694.17,704.54,693.61,,1.42%
2026/1/7,692.26,687.36,692.28,684.66,,0.23%
2026/1/6,690.65,682.09,695.43,682.09,,1.92%
2026/1/5,677.63,681.27,681.99,675.15,,0.36%
2025/12/30,675.21,682.92,683.84,674.77,,-1.07%
2025/12/29,682.54,680.62,687.36,676.66,,0.71%
2025/12/26,677.73,679.44,681.59,675.81,,0.21%
2025/12/25,676.28,664.48,676.37,662.63,,1.93%
2025/12/24,663.46,663.42,669.08,663.42,,0.01%
2025/12/23,663.39,656.03,665.5,656.03,,1.33%
2025/12/22,654.66,662.21,662.74,651.74,,-0.31%
2025/12/19,656.67,647.56,657.69,646.62,,1.72%
2025/12/18,645.58,644.21,648.6,642.47,,-0.34%
2025/12/17,647.8,651.6,652.22,641.85,,-0.40%
2025/12/16,650.38,665.82,666.31,650.36,,-2.79%
2025/12/15,669.05,657.61,669.53,657.37,,1.69%
2025/12/12,657.92,654.03,661.03,653.89,,0.74%
2025/12/11,653.07,666.58,667.26,650.73,,-2.19%
2025/12/10,667.68,667.4,671.82,664.89,,0.23%
2025/12/9,666.13,671.81,675.72,664.57,,-0.72%
2025/12/8,670.99,668.46,671.56,665.38,,0.52%
2025/12/5,667.51,667.15,672.44,664.95,,0.23%
2025/12/4,665.98,663.64,671.78,663.63,,0.71%
2025/12/3,661.31,667.31,668.02,658.61,,-0.77%
2025/12/2,666.45,684.31,685.76,666.45,,-2.49%
2025/12/1,683.44,700.95,700.95,682.9,,-2.30%
2025/11/30,699.53,694.99,699.53,699.53,,0.00%
2025/11/28,699.53,694.99,702.34,693.71,,0.64%
2025/11/27,695.05,685.98,695.59,685.45,,1.52%
2025/11/26,684.67,671.31,684.67,669.83,,2.60%
2025/11/25,667.31,683.94,683.94,666.42,,-1.93%
2025/11/21,680.43,672.29,683.63,668.5,,0.17%
2025/11/20,679.29,683.18,688.17,676.02,,0.70%
2025/11/19,674.56,682.76,683.39,668.67,,-0.80%
2025/11/18,679.97,696.43,697.86,679.15,,-2.66%
2025/11/17,698.53,708.39,708.39,693.26,,-1.41%
2025/11/14,708.54,714.16,720,706.42,,-1.79%
2025/11/13,721.49,725.48,726.19,719.58,,-0.80%
2025/11/12,727.33,709.89,727.33,708.71,,2.48%
2025/11/11,709.74,712.85,714.14,706.28,,-0.42%
2025/11/10,712.72,705.02,712.9,704.07,,1.70%
2025/11/7,700.84,699.42,704.57,695.86,,-0.32%
2025/11/6,703.06,710.54,715.26,703.06,,-0.77%
2025/11/5,708.53,707.44,708.53,687.65,,-0.51%
2025/11/4,712.15,713.4,716.27,706.34,,-0.35%
2025/10/31,714.64,708.11,719.24,708.11,,1.01%
2025/10/30,707.46,702.73,708.88,700.72,,0.57%
2025/10/29,703.43,723.37,723.37,702.23,,-2.62%
2025/10/28,722.38,733.93,733.93,722.38,,-1.71%
2025/10/27,734.94,733.75,741.47,731.89,,0.85%
2025/10/24,728.74,734.68,735.01,727.83,,-0.34%
2025/10/23,731.25,736.85,737.97,731.01,,-1.47%
2025/10/22,742.14,732.23,743.55,730.69,,1.62%
2025/10/21,730.28,733.61,736.79,724.72,,-0.06%
2025/10/20,730.75,716.47,732.73,715.66,,3.04%
2025/10/17,709.16,726.37,728.51,706.92,,-2.91%
2025/10/16,730.39,745.28,747.81,728.94,,-1.50%
2025/10/15,741.5,727.25,745.4,725.92,,2.62%
2025/10/14,722.57,736.86,739.81,719.62,,-3.19%
2025/10/10,746.37,754.49,757.68,745.73,,-1.70%
2025/10/9,759.24,754.8,760.14,752.96,,0.75%
2025/10/8,753.58,749.58,758.22,747.65,,0.14%
2025/10/7,752.52,755.52,759.46,745.17,,0.10%
2025/10/6,751.8,742.4,752.96,740.76,,2.83%
2025/10/3,731.14,715.69,734.53,715.69,,2.24%
2025/10/2,715.09,722.84,726.88,710.32,,-0.69%
2025/10/1,720.06,740.09,740.91,720.06,,-3.40%
2025/9/30,745.4,754.83,754.85,743.21,,-1.45%
2025/9/29,756.36,766.74,766.74,755.77,,-0.91%
2025/9/26,763.29,762.02,768.18,759.74,,0.20%
2025/9/25,761.77,765.64,766.12,759.16,,-0.65%
2025/9/24,766.78,773.63,773.63,765.45,,-1.06%
2025/9/22,774.98,776.81,780.88,772.43,,0.26%
2025/9/19,772.99,765.5,772.99,755.61,,1.50%
2025/9/18,761.53,765.55,768.38,759.38,,-0.26%
2025/9/17,763.49,764.31,768.53,760.03,,-0.29%
2025/9/16,765.74,763.1,767.74,756.32,,0.52%
2025/9/12,761.79,768.87,768.87,758.56,,-0.22%
2025/9/11,763.48,773.34,774.39,760.79,,-1.12%
2025/9/10,772.16,772.82,773.17,764.22,,0.11%
2025/9/9,771.33,778.54,784.54,766.85,,-0.39%
2025/9/8,774.37,772.85,780.85,771.56,,1.01%
2025/9/5,766.63,761.26,766.63,758.83,,0.92%
2025/9/4,759.64,758.12,761.4,754.61,,0.29%
2025/9/3,757.48,771.02,771.02,756.45,,-2.20%
2025/9/2,774.48,779.58,783.5,771.39,,-0.45%
2025/9/1,777.98,773.98,785.27,773.18,,-0.30%
2025/8/29,780.32,777.07,782.99,776.96,,0.55%
2025/8/28,776.06,776.48,777.08,772.05,,-0.34%
2025/8/27,778.68,785.94,785.94,777.15,,-0.92%
2025/8/26,785.89,785.52,787.65,781.21,,-0.14%
2025/8/25,786.98,790.01,792.7,785.27,,0.62%
2025/8/22,782.12,786.88,790.31,781.88,,-0.37%
2025/8/21,784.99,786.05,789.5,782.33,,-0.30%
2025/8/20,787.35,799.03,799.03,787.35,,-1.66%
2025/8/19,800.62,801.24,803.42,794.81,,0.05%
2025/8/18,800.21,792.36,802.77,791.72,,1.52%
2025/8/15,788.24,783.11,795.79,782.65,,1.11%
2025/8/14,779.58,777.06,779.61,772.92,,0.24%
2025/8/13,777.75,779.78,781.28,775.25,,-0.03%
2025/8/12,778.02,784.76,786.05,777.17,,-0.32%
2025/8/8,780.53,783.03,784.62,779.15,,-0.12%
2025/8/7,781.45,772.8,781.94,772.33,,1.24%
2025/8/6,771.88,773.4,776.44,769.17,,-0.06%
2025/8/5,772.36,767.91,772.51,767.25,,1.30%
2025/8/4,762.45,751.31,764.24,751.31,,0.02%
2025/8/1,762.27,759.12,762.27,756.58,,0.26%
2025/7/31,760.32,755.7,760.32,753.95,,0.85%
2025/7/30,753.88,751.14,753.88,745,,0.38%
2025/7/29,751.02,760.87,761.81,749.1,,-1.53%
2025/7/28,762.7,766.21,767.19,760.28,,0.05%
2025/7/25,762.29,759.72,762.53,757.68,,0.37%
2025/7/24,759.48,760.61,764.59,756.45,,0.34%
2025/7/23,756.9,748.97,757.82,747.54,,1.86%
2025/7/22,743.07,743.75,749.99,740.39,,0.67%
2025/7/18,738.11,750.28,751.46,737.52,,-1.29%
2025/7/17,747.74,737.75,750.79,737.53,,1.77%
2025/7/16,734.74,730.43,737.65,726.83,,0.46%
2025/7/15,731.38,749.4,750.11,731.38,,-2.16%
2025/7/14,747.5,748.15,752.06,745.09,,-0.13%
2025/7/11,748.48,752.84,759.28,746.69,,-0.38%
2025/7/10,751.35,744.65,751.35,742.12,,1.43%
2025/7/9,740.75,736.87,740.75,733.03,,1.16%
2025/7/8,732.29,719.08,732.31,719.08,,1.98%
2025/7/7,718.07,711.99,721.02,711.77,,1.05%
2025/7/4,710.59,714.05,717.22,710.59,,0.12%
2025/7/3,709.71,717.1,718.45,709.33,,-0.60%
2025/7/2,714.01,726.89,727.93,714.01,,-2.68%
2025/7/1,733.65,747.89,748.64,733.63,,-1.95%
2025/6/30,748.25,740.83,751.95,740.55,,1.69%
2025/6/27,735.82,743.46,745.11,734.02,,-1.01%
2025/6/26,743.33,759.25,760.02,742.28,,-1.85%
2025/6/25,757.36,759.98,760.01,749.45,,0.08%
2025/6/24,756.77,757.28,758.78,754.96,,0.77%
2025/6/23,751.02,743.87,753.33,740.42,,0.04%
2025/6/20,750.71,758.66,761,750.33,,-0.91%
2025/6/19,757.58,764.37,768.06,757.18,,-0.57%
2025/6/18,761.89,760.52,768.93,760.52,,0.09%
2025/6/17,761.2,765.48,765.76,756.42,,-0.20%
2025/6/16,762.74,754.67,764.75,753.69,,1.36%
2025/6/14,752.52,772.34,752.52,752.52,,0.00%
2025/6/13,752.52,772.34,772.34,752.52,,-1.47%
2025/6/12,763.72,765.34,770.26,762.91,,-0.12%
2025/6/11,764.61,764.74,769.01,761.32,,0.59%
2025/6/10,760.14,751.61,762.97,751.35,,1.52%
2025/6/9,748.76,749.32,751.69,745.08,,0.42%
2025/6/6,745.64,759.93,760.74,745.28,,-2.09%
2025/6/5,761.54,765,769.91,761.54,,-0.41%
2025/6/4,764.69,761.12,771.32,760.69,,1.08%
2025/6/3,756.5,747.71,756.71,742.72,,1.41%
2025/6/2,746,744.79,750.36,743.12,,0.10%
2025/5/30,745.24,739.57,748.78,738.69,,0.66%
2025/5/29,740.39,744.77,747.71,740.14,,-0.34%
2025/5/28,742.94,740.62,745.2,739.7,,0.84%
2025/5/27,736.72,727.94,736.72,727.21,,1.79%
2025/5/26,723.75,716.82,728.11,715.99,,1.55%
2025/5/23,712.67,716.25,721.83,711.52,,-0.17%
2025/5/22,713.89,710.43,716.91,709.7,,-0.37%
2025/5/21,716.57,724.14,725.02,715.65,,-0.88%
2025/5/20,722.92,718.7,725.86,718.48,,0.87%
2025/5/19,716.67,711.37,717.27,709.49,,0.40%
2025/5/16,713.84,709.82,717.19,708.61,,0.73%
2025/5/15,708.64,697.43,709.09,697.43,,1.18%
2025/5/14,700.39,695.9,700.5,692.05,,0.53%
2025/5/13,696.68,695.07,697.85,690.37,,1.14%
2025/5/12,688.86,687.07,690.61,682.93,,0.67%
2025/5/9,684.26,677.72,686.4,677.72,,1.15%
2025/5/8,676.48,680.49,681.15,673.93,,-0.54%
2025/5/7,680.12,681.55,684.32,679.01,,0.06%
2025/5/2,679.7,680.42,682.78,672.64,,-0.16%
2025/5/1,680.82,675.8,681.94,674.96,,0.59%
2025/4/30,676.85,674.51,677.51,670.47,,0.73%
2025/4/28,671.94,670.27,675.06,669.49,,0.61%
2025/4/25,667.84,662.83,672.69,662.21,,1.31%
2025/4/24,659.21,662.25,663.44,657.36,,-0.04%
2025/4/23,659.47,666.96,667.05,657.42,,0.11%
2025/4/22,658.73,662.81,666.92,655.18,,-1.32%
2025/4/21,667.53,669.61,675.58,666.16,,-0.36%
2025/4/18,669.96,648.92,669.96,647.46,,3.73%
2025/4/17,645.86,631.41,645.86,630.92,,2.55%
2025/4/16,629.81,642.52,642.8,626.62,,-1.73%
2025/4/15,640.87,640.16,648.29,639.9,,1.10%
2025/4/14,633.92,637.16,646.24,633.19,,0.40%
2025/4/11,631.4,605.12,631.4,598.06,,2.89%
2025/4/10,613.64,585.86,615.94,585.86,,7.08%
2025/4/9,573.09,583.71,583.79,559.41,,-2.73%
2025/4/8,589.17,546.29,594.84,546.29,,10.22%
2025/4/7,534.55,584.19,584.23,531.72,,-10.52%
2025/4/4,597.38,618.68,619.46,579.77,,-4.69%
2025/4/3,626.75,621.85,634.91,610.9,,-1.31%
2025/4/2,635.07,638.16,640.2,630.37,,-0.30%
2025/4/1,636.96,653.17,655.22,636.87,,-2.22%
2025/3/31,651.41,658.24,658.33,648.71,,-2.61%
2025/3/28,668.89,670.51,677.63,668.68,,-0.29%
2025/3/27,670.86,669.55,674.79,668.01,,-0.42%
2025/3/26,673.7,673.12,675.44,669.72,,0.29%
2025/3/25,671.72,668.31,672.49,668,,0.92%
2025/3/24,665.57,669.1,672.75,665.57,,-0.23%
2025/3/21,667.1,668.4,672.42,666.82,,0.04%
2025/3/19,666.81,666.28,670.71,665.33,,0.14%
2025/3/18,665.87,665.75,667.84,662.9,,0.27%
2025/3/17,664.1,664.61,664.96,657.81,,0.73%
2025/3/14,659.26,649.16,659.63,647.59,,1.47%
2025/3/13,649.72,655.99,659.58,648.62,,-0.24%
2025/3/12,651.31,642.88,656.38,642.81,,1.54%
2025/3/11,641.46,630.45,641.46,621.37,,0.39%
2025/3/10,638.98,634.12,640.06,629.74,,1.26%
2025/3/7,631.01,637.61,640.6,631.01,,-2.07%
2025/3/6,644.32,644.59,648.05,639.68,,0.83%
2025/3/5,639,645.22,646.44,634.77,,-1.15%
2025/3/4,646.46,652.73,653.01,637.95,,-1.80%
2025/3/3,658.3,660.24,663.52,657.25,,0.69%
2025/2/28,653.77,663.89,667.63,648.66,,-2.21%
2025/2/27,668.56,668.57,673.01,667.24,,-0.03%
2025/2/26,668.74,673.69,676.23,662.73,,-0.72%
2025/2/25,673.56,672.33,677.29,670.76,,-0.98%
2025/2/21,680.22,681.17,685.78,677.7,,-0.46%
2025/2/20,683.37,685.28,689.12,682.19,,-0.26%
2025/2/19,685.12,687.63,689.7,683.34,,-0.28%
2025/2/18,687.04,682.9,691.04,682.69,,0.82%
2025/2/17,681.46,678.32,690.25,677.86,,0.65%
2025/2/14,677.06,688.43,688.58,675.82,,-1.51%
2025/2/13,687.45,693.92,693.92,682.81,,-0.75%
2025/2/12,692.66,685.56,693.22,682.74,,1.38%
2025/2/10,683.23,671.54,684.38,671.04,,1.65%
2025/2/7,672.12,669.06,674.78,668.77,,0.30%
2025/2/6,670.13,655.72,670.19,655.72,,2.33%
2025/2/5,654.88,649.23,654.88,648.79,,1.09%
2025/2/4,647.8,646.5,651.34,645.18,,0.88%
2025/2/3,642.15,644.52,646.42,639.38,,-1.31%
2025/1/31,650.67,651.83,651.83,647.03,,-0.30%
2025/1/30,652.6,654.79,657,651.11,,-0.52%
2025/1/29,655.99,649.47,659.1,649.41,,1.28%
2025/1/28,647.71,636.15,647.71,635.56,,1.38%
2025/1/27,638.9,643.3,645.89,638.64,,-0.28%
2025/1/24,640.72,625.97,641.95,625.67,,2.56%
2025/1/23,624.73,629.93,629.93,622.22,,-0.92%
2025/1/22,630.56,630.91,634.03,626.54,,0.42%
2025/1/21,627.92,631.58,631.71,624.65,,-0.53%
2025/1/20,631.26,628.25,633.62,626.88,,0.86%
2025/1/17,625.85,626.34,626.34,619.11,,-0.64%
2025/1/16,629.86,636.46,638.18,628.63,,-0.20%
2025/1/15,631.11,638.52,640.4,629.96,,-0.91%
2025/1/14,636.92,641.63,643.18,633.91,,-1.21%
2025/1/10,644.72,640.93,645.63,639.97,,0.20%
2025/1/9,643.42,640.17,644.71,638.25,,-0.04%
2025/1/8,643.67,637.45,644.51,636.42,,0.43%
2025/1/7,640.94,638.97,640.94,637.02,,0.98%
2025/1/6,634.71,646.46,648.71,634.43,,-1.47%
2024/12/30,644.18,644.77,650.41,643.6,,-0.10%
2024/12/27,644.82,637.38,649.11,636.97,,2.00%
2024/12/26,632.16,634.02,636.5,629.51,,0.11%
2024/12/25,631.46,632.23,637.18,628.7,,0.21%
2024/12/24,630.12,629.94,630.9,625.59,,-0.01%
2024/12/23,630.16,628.31,633.07,627.92,,0.84%
2024/12/20,624.89,631.2,633.58,624.65,,-0.94%
2024/12/19,630.85,626.66,631.8,626.12,,-0.79%
2024/12/18,635.85,633.81,641.88,632.66,,0.06%
2024/12/17,635.44,638.17,638.38,632.94,,-0.44%
2024/12/16,638.27,643.45,643.49,636.84,,-1.01%
2024/12/13,644.81,646.99,648.46,643.12,,0.49%
2024/12/12,641.64,643.87,647.36,641.53,,0.48%
2024/12/11,638.58,640.36,641.27,635.95,,-0.30%
2024/12/10,640.47,641.62,641.91,638.88,,-0.36%
2024/12/9,642.81,637.85,644.49,637.01,,1.38%
2024/12/6,634.03,636.32,636.85,631.01,,-0.73%
2024/12/5,638.72,639.71,643.35,637.51,,0.10%
2024/12/4,638.08,644.84,644.84,636.74,,-1.34%
2024/12/3,646.75,643.88,647.25,642.84,,0.78%
2024/12/2,641.72,645.08,645.2,639.34,,-0.35%
2024/11/29,643.97,634.64,645.08,632.26,,1.51%
2024/11/28,634.38,633.62,638.46,632.19,,0.06%
2024/11/27,633.97,636.05,636.05,628.97,,-0.24%
2024/11/26,635.47,639.65,639.65,632.04,,-0.42%
2024/11/25,638.18,640.15,642.51,636.81,,0.53%
2024/11/22,634.81,638.34,639.85,632.8,,-0.13%
2024/11/21,635.64,635.29,639.13,632.31,,0.71%
2024/11/20,631.16,634.76,640.42,631.15,,-0.01%
2024/11/19,631.21,621.02,633.08,621.02,,1.93%
2024/11/18,619.26,622.71,624.48,617.87,,-1.07%
2024/11/15,625.95,624.85,628.09,619.31,,0.12%
2024/11/14,625.23,628.1,630.05,621.68,,-0.57%
2024/11/13,628.84,631.13,637.23,627.74,,-0.42%
2024/11/12,631.5,633.75,637.97,629.89,,0.02%
2024/11/11,631.38,625.93,631.38,625.11,,0.72%
2024/11/8,626.88,624.65,631.11,623.34,,0.66%
2024/11/7,622.74,625.23,630.47,619.82,,0.21%
2024/11/6,621.45,619.56,624.78,616.61,,0.54%
2024/11/5,618.13,622.74,623.2,614.8,,-0.30%
2024/11/1,619.96,622.09,624.05,619.45,,-1.64%
2024/10/31,630.28,625.86,630.76,623.04,,0.72%
2024/10/30,625.76,623.9,626.99,621.12,,0.52%
2024/10/29,622.54,610.68,623.1,610.47,,2.08%
2024/10/28,609.88,587.68,610.44,587.68,,3.49%
2024/10/25,589.3,598.5,599.6,587.56,,-1.68%
2024/10/24,599.35,598.47,601.17,593.48,,-0.78%
2024/10/23,604.09,614.22,614.44,603.31,,-1.76%
2024/10/22,614.9,629.01,629.01,614.2,,-2.69%
2024/10/21,631.91,623.23,633.84,621.97,,1.37%
2024/10/18,623.37,626.82,628.86,621.65,,-0.69%
2024/10/17,627.7,632.67,635.07,627.48,,-0.79%
2024/10/16,632.67,633.96,639,630.86,,-1.25%
2024/10/15,640.69,642.25,642.37,633.77,,0.39%
2024/10/11,638.19,639.89,642.56,638.19,,-0.27%
2024/10/10,639.94,647.39,648.71,639.09,,-1.13%
2024/10/9,647.24,644.6,651.06,643.85,,0.99%
2024/10/8,640.92,645.48,648.03,640.22,,-1.40%
2024/10/7,650.01,654.68,656.93,648.2,,0.43%
2024/10/4,647.2,649.16,655.87,646.28,,-0.48%
2024/10/3,650.33,654.09,654.24,645.78,,0.89%
2024/10/2,644.58,659.03,659.81,643.99,,-3.19%
2024/10/1,665.79,656.92,668.26,653.49,,2.02%
2024/9/30,652.63,663.51,667.17,652.44,,-3.42%
2024/9/27,675.75,665.21,676.75,665.21,,2.13%
2024/9/26,661.65,656.39,661.65,655.16,,0.92%
2024/9/25,655.65,661.08,662.27,655.07,,-0.83%
2024/9/24,661.17,670.92,670.92,661.17,,-0.74%
2024/9/20,666.08,668.62,670.26,663.6,,0.61%
2024/9/19,662.06,648.11,665.12,648.11,,3.42%
2024/9/18,640.19,644.77,648.95,634.68,,0.20%
2024/9/17,638.89,646.34,648.53,631.95,,-0.87%
2024/9/13,644.48,652.26,653.04,644,,-1.35%
2024/9/12,653.27,641.82,653.27,640.98,,3.34%
2024/9/11,632.14,651.93,654.62,624.27,,-2.87%
